action_type,alignment,alpha,background_blur,background_gradient_direction,border_color_alpha,border_color_hex,border_width,bottomMask,color_alpha,color_hex,content_mode,corner_radius_units,corner_radius_value,description,disable_tap_zones,flip_interval,font_color_alpha,font_color_hex,font_size,font_type,guid,height,height_points,hex,hidden,hide_page_status,icon_background_blur,icon_background_gradient_direction,item_size_height_units,item_size_height_value,item_size_width_units,item_size_width_value,key,log_view,margin_bottom,margin_left,margin_right,margin_top,name,number_of_items,orientation,padding_bottom,padding_left,padding_right,padding_top,rotation,size_height_units,size_height_value,size_width_units,size_width_value,template_identifier,template_name,text,tint_color_alpha,tint_color_hex,title,topMask,trigger,type,userInfo,story_id
,center,1.0,False,diagonal,,,0.0,False,,,,percent,50,копия,False,10.0,1.0,#000000,15,normal,b46422e9-c21b-4035-a6a2-22fce4dc8107,,,#ffdd2c,false,False,False,vertical,,,,,,True,0,0,0,0,Как не просрочить кредит,,horizontal,0,32,32,0,,pixels,36,pixels,0,,text,Взять кредит наличными,,,,False,,deeplink,,1351
,leading,0.8,False,diagonal,,,0.0,False,,,,pixels,0,описание,False,20.0,1.0,#ffffff,17,normal,6c99751f-77a6-40e1-aef1-95c64adc11f2,,,#000000,false,False,False,vertical,,,,,,True,0,0,0,0,Продукт месяца: лисички,,horizontal,0,0,0,0,,pixels,0,pixels,0,text_label,text,"Лисички — настоящий хит не только высокой кухни, но и простых в приготовлении блюд. Обжаренные лисички хорошо добавлять и в пасту, и в ризотто, и в мясное рагу. Прекрасно сыграют свою партию эти грибы в крем-супах, пирогах и в паре с запеченной рыбой или морепродуктами.",,,,False,,label,,1462
,center,1.0,False,diagonal,,,0.0,False,,,,percent,50,описание,False,20.0,1.0,#000000,15,normal,77ca03c2-9613-4a5f-9be6-cc32ae9c3c58,,,#ffdd2c,false,False,False,vertical,,,,,,True,0,0,0,0,Летать с животными,,horizontal,0,32,32,0,,pixels,36,pixels,0,text_label,text,Как летать с животными,,,,False,,web_view,,1132
,center,1.0,False,diagonal,,,0.0,False,,,,percent,50,описание,False,20.0,1.0,#000000,15,normal,b8e0290d-f49b-4fd0-bb8e-fca8680dd7a6,,,#ffdd2c,false,False,False,vertical,,,,,,True,0,0,0,0,7 дней – 7 масок,,horizontal,0,32,32,0,,pixels,36,pixels,0,text_label,text,Купить,,,,False,,web_view,,933
,center,1.0,False,diagonal,,,0.0,False,,,,percent,50,"Облако, крупный текст + кнопка",False,15.0,1.0,#000000,15,normal,68bf75c3-0545-46e3-ac5f-99faea8d1f58,40.0,percent,#ffdd2c,false,False,False,vertical,,,,,answer_2,False,0,0,0,0,Проверьте себя,,horizontal,0,32,32,0,,pixels,36,pixels,0,,text,ПРОЙТИ ТЕСТ,,,,False,,web_view,,1135
,center,1.0,False,diagonal,,,0.0,False,,,,percent,50,описание,False,20.0,1.0,#000000,15,normal,257f6e6f-f73c-422e-a1e7-ee501ce73b07,,,#ffdd2c,false,False,False,vertical,,,,,,True,0,0,0,0,Новости об онлайн-кассах,,horizontal,0,32,32,0,,pixels,36,pixels,0,text_label,text,Подробный разбор,,,,False,,web_view,,1187
,center,1.0,False,diagonal,1.0,#ffffff,1.0,False,,,fill,pixels,16,тощщый,False,10.0,1.0,#000000,15,bold,a5516462-e739-4325-8303-e27d1658c487,,,#ffffff,false,False,False,vertical,,,,,,True,0,0,0,0,Налоги с донатов,,horizontal,0,0,0,0,,pixels,44,pixels,225,,,Подробный разбор,,,,False,,web_view,,1282
,leading,0.6,False,diagonal,,,0.0,False,,,,pixels,0,описание,False,20.0,1.0,#ffffff,17,normal,6c1a43f4-98ef-4b4f-ab89-97fd815bf222,,,#000000,false,False,False,vertical,,,,,,True,0,0,0,0,Валюта в отпуск,,horizontal,0,0,0,0,,pixels,0,pixels,0,text_label,text,"500 евро одной бумажкой в лучшем случае парализуют работу магазина на полчаса, пока сотрудники проверяют подлинность купюры, в худшем — еще и привлекут внимание карманников. Приготовьте размен.",,,,False,,label,,1320
,center,1.0,False,diagonal,,,0.0,False,,,,percent,50,Кнопка,False,20.0,1.0,#ffffff,14,bold,e5d1183c-89d2-4e21-a9f1-b2cb2d2e3c92,1.0,pixel,#36130f,false,False,False,vertical,,,,,,True,0,0,0,0,5 новинок нон-фикшн ,,horizontal,0,32,32,0,,pixels,36,pixels,0,,text,Купить,,,2,False,,web_view,,1463
,leading,0.8,False,diagonal,,,0.0,False,,,,pixels,0,описание,False,20.0,1.0,#ffffff,17,normal,17836a89-7493-4336-8f37-1546e029125b,,,#000000,false,False,False,vertical,,,,,,True,0,0,0,0,Куда поехать на выходные,,horizontal,0,0,0,0,,pixels,0,pixels,0,text_label,text,"Калязин — это «русская Атлантида». При создании Угличского водохранилища старая часть Калязина была затоплена — Никольский собор был разобран, а колокольню оставили в качестве маяка. Поездку сюда логично совместить с посещением города Кимры или Углича.",,,,False,,label,,1498
,leading,0.6,False,vertical,,,,False,,,,,,описание,False,20.0,1.0,#ffffff,17,normal,4adbbc66-e35d-462c-b182-c353c79c5e37,,,#000000,false,False,False,vertical,,,,,,True,64,,,16,В музей бесплатно,,horizontal,32,16,16,16,,,,,,,,6 июня вход в Пушкинский музей будет бесплатным в честь дня рождения Александра Пушкина,,,,False,,label,,994
,center,1.0,False,diagonal,,,0.0,False,,,,percent,50,5,,15.0,1.0,#000000,15,normal,6c1ed552-f39f-406c-bf09-1f86d00b0b14,40.0,percent,#ffdd2c,false,,False,vertical,,,,,,False,0,0,0,0,В отпуск бесплатно,,horizontal,0,32,32,0,,pixels,36,pixels,0,,text,Заказать карту,,,,False,,next_page,,349
,center,1.0,False,diagonal,,,0.0,False,,,,percent,50,копия,False,0.0,1.0,#000000,15,normal,2bf72499-e6ea-4166-9f8d-0c97514e8d47,40.0,percent,#ffdd2c,false,False,False,vertical,,,,,,False,0,0,0,0,Профессия: визажист,,horizontal,0,32,32,0,,pixels,36,pixels,0,,text,Читать о профессии,,,,False,,web_view,,1244
,leading,0.0,False,diagonal,,,0.0,False,,,fit,pixels,0,картинка,False,15.0,1.0,#ffffff,17,normal,36e11494-d8c0-45b9-9f04-165ad1f26b89,,,#ffffff,false,False,False,vertical,,,,,,False,0,0,0,0,Пополнить «Тройку»,,horizontal,0,0,0,0,,pixels,0,pixels,0,,text,"Чтобы деньги поступили на счет, нужно записать платеж в желтом терминале в вестибюле метро. Выберите меню «Удаленное пополнение», приложите карту и дождитесь подтверждения платежа.",,,,False,,label,,217
,center,1.0,False,diagonal,,,0.0,False,,,,percent,50,описание,False,20.0,1.0,#000000,15,normal,e713acac-a4eb-465d-bc2e-d2a62fda8b41,,,#ffdd2c,false,False,False,vertical,,,,,,True,0,0,0,0,Сувениры ЧМ,,horizontal,0,32,32,0,,pixels,36,pixels,0,text_label,text,Купить,,,,False,,web_view,,975
,center,1.0,False,diagonal,,,0.0,False,,,,percent,50,описание,False,20.0,1.0,#000000,15,normal,7c65fd77-a7ef-46ce-ae9d-d8faeb59b432,,,#ffdd2c,false,False,False,vertical,,,,,,True,0,0,0,0,Главные фестивали июня,,horizontal,0,32,32,0,,pixels,36,pixels,0,text_label,text,Билеты,,,,False,,web_view,,986
,center,1.0,False,diagonal,,,0.0,False,,,,percent,50,описание,False,20.0,1.0,#000000,15,normal,a8f4257a-2edb-4701-ae46-c98b9bdd106a,,,#ffdd2c,false,False,False,vertical,,,,,,True,0,0,0,0,Обработка фото,,horizontal,0,32,32,0,,pixels,36,pixels,0,text_label,text,Скачать,,,,False,,web_view,,1016
,center,1.0,False,diagonal,,,0.0,False,,,,percent,50,описание,False,20.0,1.0,#000000,15,normal,c7b331c8-ba24-4304-a678-bf2b39c18fc1,,,#ffdd2c,false,False,False,vertical,,,,,,True,0,0,0,0,Где поесть суши,,horizontal,0,32,32,0,,pixels,36,pixels,0,text_label,text,Забронировать,,,,False,,web_view,,1032
,center,1.0,False,diagonal,,,0.0,False,,,,percent,50,описание,False,20.0,1.0,#000000,15,normal,cdd76448-71ba-45a5-8552-78e28d565e1a,,,#ffdd2c,false,False,False,vertical,,,,,,True,0,0,0,0,Изменения в ПДД и ОСАГО ,,horizontal,0,32,32,0,,pixels,36,pixels,0,text_label,text,Подробный разбор,,,,False,,web_view,,1074
,center,1.0,False,diagonal,,,0.0,False,,,,percent,50,описание,False,20.0,1.0,#000000,15,normal,fffc7aea-95fc-4c5e-a7d2-dae8ebc56756,,,#ffdd2c,false,False,False,vertical,,,,,,True,0,0,0,0,Инстаграм и налоги,,horizontal,0,32,32,0,,pixels,36,pixels,0,text_label,text,Подробный разбор,,,,False,,web_view,,905
,center,1.0,False,diagonal,,,0.0,False,,,,percent,50,описание,False,20.0,1.0,#000000,15,normal,65eb6cec-479d-418a-8039-84693e1e04c6,,,#ffdd2c,false,False,False,vertical,,,,,,True,0,0,0,0,Баския: взрыв реальности,,horizontal,0,32,32,0,,pixels,36,pixels,0,text_label,text,Билеты,,,,False,,web_view,,965
,center,1.0,False,diagonal,,,0.0,False,,,,percent,50,описание,False,20.0,1.0,#000000,15,normal,ca16f8e5-8f78-430c-a02b-437949c48aa6,,,#ffdd2c,false,False,False,vertical,,,,,,True,0,0,0,0,Что смотреть в кино,,horizontal,0,32,32,0,,pixels,36,pixels,0,text_label,text,Билеты,,,,False,,web_view,,951
,center,1.0,False,diagonal,,,0.0,False,,,,percent,50,описание,False,20.0,1.0,#000000,15,normal,54db29d3-9e29-41d4-a89d-bc6ba9a557fb,,,#ffdd2c,false,False,False,vertical,,,,,,True,0,0,0,0,Документы к отпуску,,horizontal,0,32,32,0,,pixels,36,pixels,0,text_label,text,Оформить страховку,,,,False,,web_view,,1202
,center,1.0,False,diagonal,,,0.0,False,,,,percent,50,описание,False,20.0,1.0,#000000,15,normal,2a6f2d35-0c3a-41d1-9118-c02afb6241d4,,,#ffdd2c,false,False,False,vertical,,,,,,True,0,0,0,0,Выставка Верещагина,,horizontal,0,32,32,0,,pixels,36,pixels,0,text_label,text,Билеты,,,,False,,web_view,,1136
,center,1.0,False,diagonal,,,0.0,False,,,,percent,50,описание,False,20.0,1.0,#000000,15,normal,e62516d5-7125-4259-ada9-539508e2df87,,,#ffdd2c,false,False,False,vertical,,,,,,True,0,0,0,0,Как общаться с банком,,horizontal,0,32,32,0,,pixels,36,pixels,0,text_label,text,Читайте разбор,,,,False,,web_view,,1340
,trailing,1.0,False,vertical,,,,False,,,fill,,,очки,False,,1.0,#ffffff,19,bold,8e3a6bba-c790-429b-8b42-842587d24407,,,,false,False,False,vertical,,,,,,True,-8,12,20,8,,,horizontal,,,,8,,pixels,44,pixels,24,,,0,,,,False,,label,,1115
,center,1.0,False,vertical,,,0.0,False,,,fill,pixels,0,копия,False,15.0,1.0,#ffffff,20,normal,2e992f5f-0e42-4a5a-844e-8cce7221ce23,,,#ffffff,false,False,False,diagonal,,,,,,True,0,16,16,0,Перевыпуск карты,,horizontal,0,0,0,0,,pixels,232,pixels,288,,text,Готово. Перевыпустим вашу карту бесплатно. Тариф и подключенные услуги останутся прежними.,,,,False,,grouped,,758
,center,1.0,False,diagonal,,,0.0,False,,,,percent,50,описание,False,20.0,1.0,#000000,15,normal,9e3cc066-7ebb-43d8-a535-a3a85d5905ae,,,#ffdd2c,false,False,False,vertical,,,,,,True,0,0,0,0,Как читать отзывы в путешествии,,horizontal,0,32,32,0,,pixels,36,pixels,0,text_label,text,Внимательно читайте отзывы,,,,False,,web_view,,1165
,center,1.0,False,diagonal,,,0.0,False,,,,percent,50,описание,False,20.0,1.0,#000000,15,normal,f67a126b-709d-4c12-99a1-f67e6f9a9ae2,,,#ffdd2c,false,False,False,vertical,,,,,,True,0,0,0,0,Защититься от воров,,horizontal,0,32,32,0,,pixels,36,pixels,0,text_label,text,Припрятать сбережения,,,,False,,web_view,,1017
,center,1.0,False,diagonal,,,0.0,False,,,,percent,50,описание,False,20.0,1.0,#000000,15,normal,54b265b5-5907-4060-99a3-bdd2a02507bb,,,#ffdd2c,false,False,False,vertical,,,,,,True,0,0,0,0,Плетеная сумка — тренд сезона,,horizontal,0,32,32,0,,pixels,36,pixels,0,text_label,text,Купить,,,,False,,web_view,,1106
,center,1.0,False,diagonal,,,0.0,False,,,,percent,50,описание,False,20.0,1.0,#000000,15,normal,c5f5c9b9-6894-4177-b5ad-1c51c4b7d470,,,#ffdd2c,false,False,False,vertical,,,,,,True,0,0,0,0,Поехать за город: Дубна,,horizontal,0,32,32,0,,pixels,36,pixels,0,text_label,text,Подробнее,,,,False,,web_view,,876
,leading,0.8,False,diagonal,,,0.0,False,,,,pixels,0,описание,False,20.0,1.0,#ffffff,17,normal,b6561711-79cf-476a-b7c5-e65b5d866aeb,,,#000000,false,False,False,vertical,,,,,,True,0,0,0,0,Продукт месяца: фенхель,,horizontal,0,0,0,0,,pixels,0,pixels,0,text_label,text,"Фенхель — отличная начинка для пирогов и кишей. Прекрасно сочетается с пореем, кабачком и шпинатом в ароматных летних супах-пюре. Кроме того, ни один рыбный средиземноморский суп не обходится без фенхеля. Очень интересный вкус фенхель придает мясным рагу и запеканкам.",,,,False,,label,,1188
,center,1.0,False,diagonal,,,0.0,False,,,,percent,50,описание,False,20.0,1.0,#000000,15,normal,b182403f-505c-4e7e-8072-e07dcee991cd,,,#ffdd2c,false,False,False,vertical,,,,,,True,0,0,0,0,Где искать кредитную историю,,horizontal,0,32,32,0,,pixels,36,pixels,0,text_label,text,Вот что нужно сделать,,,,False,,web_view,,1124
,center,1.0,False,diagonal,1.0,#ffffff,1.0,False,,,fill,pixels,16,тощщый,False,10.0,1.0,#000000,15,bold,22b70b15-5b4b-448c-b8f9-b9171c9c5e78,,,#ffffff,false,False,False,vertical,,,,,,True,0,0,0,0,Кредит для кредитки,,horizontal,0,0,0,0,,pixels,44,pixels,225,,,Подробный разбор,,,,False,,web_view,,1283
,center,1.0,False,vertical,,,0.0,False,,,fill,pixels,0,копия,False,15.0,1.0,#ffffff,20,normal,14e7a7c1-2f49-4c25-a463-7c8d42ef6284,,,#ffffff,false,False,False,diagonal,,,,,,True,0,16,16,0,Перевыпуск карты,,horizontal,0,0,0,0,,pixels,232,pixels,288,,text,Готово. Перевыпустим вашу карту бесплатно. Тариф и подключенные услуги останутся прежними.,,,,False,,grouped,,759
,leading,0.8,False,diagonal,,,0.0,False,,,,pixels,0,описание,False,20.0,1.0,#ffffff,17,normal,fc898e3a-70a2-4160-a2bd-27983e459551,,,#000000,false,False,False,vertical,,,,,,True,0,0,0,0,Куда поехать на выходные,,horizontal,0,0,0,0,,pixels,0,pixels,0,text_label,text,"Калязин — это «русская Атлантида». При создании Угличского водохранилища старая часть Калязина была затоплена — Никольский собор был разобран, а колокольню оставили в качестве маяка. Поездку сюда логично совместить с посещением города Кимры или Углича.",,,,False,,label,,1499
,center,1.0,False,diagonal,1.0,#ffffff,1.0,False,,,fill,pixels,16,тощщый,False,10.0,1.0,#000000,15,bold,34c9a7ad-2828-4167-9aa2-0e7a9989f049,,,#ffffff,false,False,False,vertical,,,,,,True,0,0,0,0,Перевезти деньги через границу,,horizontal,0,0,0,0,,pixels,44,pixels,225,,,Подробный разбор,,,,False,,web_view,,916
,center,1.0,False,vertical,,,0.0,False,,,fill,pixels,0,копия,False,15.0,1.0,#ffffff,19,normal,569eccf4-5d64-4d37-906e-a78134de9350,40.0,percent,#ffffff,false,False,False,vertical,,,,,,True,0,16,16,0,Переводы в Сбербанк,,horizontal,0,0,0,0,,pixels,232,pixels,288,,text,Перевод сразу придет на карту Сбербанка. Комиссия за перевод с дебетовой карты — 1%.,,,,False,,grouped,,1367
,center,1.0,False,diagonal,,,0.0,False,,,fill,percent,50,копия,False,15.0,1.0,#000000,15,normal,2758dc15-c0e2-4dec-9669-e84c87e59b2f,,,#ffdd2c,false,False,False,vertical,,,,,,True,0,0,0,0,Торговые центры ,,horizontal,0,32,32,0,,pixels,36,pixels,0,,text,Торговые центры,,,,False,,deeplink,,888
,center,1.0,False,diagonal,,,0.0,False,,,,percent,50,описание,False,20.0,1.0,#000000,15,normal,7eae9e10-22d4-40a5-b4d6-41a86e84d367,,,#ffdd2c,false,False,False,vertical,,,,,,True,0,0,0,0,«Attacca»: Beat Fest,,horizontal,0,32,32,0,,pixels,36,pixels,0,text_label,text,Билеты,,,,False,,web_view,,966
,leading,0.8,False,diagonal,,,0.0,False,,,,pixels,0,копия,False,20.0,1.0,#ffffff,17,normal,3608964b-0cb2-4c0d-b075-66389f85c01a,,,#000000,false,False,False,vertical,,,,,,True,0,0,0,0,Выгодная кредитка,,horizontal,0,0,0,0,,pixels,0,pixels,0,text_label,text,Главная → Карта → Лимиты.,,,,False,,label,,917
,leading,0.8,False,diagonal,,,0.0,False,,,,pixels,0,описание,False,20.0,1.0,#ffffff,17,normal,40f90355-0099-4b87-9e34-51f96f40edcb,,,#000000,false,False,False,vertical,,,,,,True,0,0,0,0,Главные интриги ЧМ,,horizontal,0,0,0,0,,pixels,0,pixels,0,text_label,text,"Помимо уже упомянутых Салаха и Месси, на звание лучшего бомбардира претендует целый ряд футболистов, каждому из которых безусловно по силам завоевать этот титул. Криштиану Роналду, Неймар, Томас Мюллер — это далеко не весь список претендентов на звание главного «голеадора» ЧМ-2018.",,,,False,,label,,1058
,center,1.0,False,diagonal,,,0.0,False,,,,percent,50,описание,False,20.0,1.0,#000000,15,normal,46e16702-d172-442e-b115-c2b15d034832,,,#ffdd2c,false,False,False,vertical,,,,,,True,0,0,0,0,Получить «шенген»,,horizontal,0,32,32,0,,pixels,36,pixels,0,text_label,text,Как оформить «шенген»,,,{{break}},False,,web_view,,1166
,center,1.0,False,diagonal,,,0.0,False,,,,percent,50,описание,False,20.0,1.0,#000000,15,normal,8e099d4b-2181-4816-9133-ee687e7606e1,,,#ffdd2c,false,False,False,vertical,,,,,,True,0,0,0,0,Мошенники в НПФ,,horizontal,0,32,32,0,,pixels,36,pixels,0,text_label,text,Не попадитесь на обман НПФ,,,,False,,web_view,,1048
,leading,0.8,False,diagonal,,,0.0,False,,,,pixels,0,описание,False,20.0,1.0,#ffffff,17,normal,5136f310-57fa-4afc-8077-fe77055517dc,,,#000000,false,False,False,vertical,,,,,,True,0,0,0,0,Самые дорогие сборные ЧМ,,horizontal,0,0,0,0,,pixels,0,pixels,0,text_label,text,"Суммарная стоимость игроков сборной России составляет порядка 138,6 млн €. Замыкает рейтинг Панама с 5,25 млн €. К слову, один только нападающий сборной Германии Марио Гомес стоит дороже. ",,,,False,,label,,1018
,center,1.0,False,diagonal,,,0.0,False,,,,percent,50,описание,False,20.0,1.0,#000000,15,normal,09ef65ee-a65f-46c9-9a44-06c7c28e289b,,,#ffdd2c,false,False,False,vertical,,,,,,True,0,0,0,0,Концерты недели,,horizontal,0,32,32,0,,pixels,36,pixels,0,text_label,text,Билеты,,,,False,,web_view,,935
,center,1.0,False,diagonal,,,0.0,False,,,,percent,50,описание,False,20.0,1.0,#000000,15,normal,db36533c-0cf6-479a-9de7-d08dba1c2cbb,,,#ffdd2c,false,False,False,vertical,,,,,,True,0,0,0,0,Выбрать газовый баллончик,,horizontal,0,32,32,0,,pixels,36,pixels,0,text_label,text,Подробная инструкция,,,,False,,web_view,,1288
,leading,0.8,False,diagonal,,,0.0,False,,,,pixels,0,описание,False,20.0,1.0,#ffffff,17,normal,0e8f8246-ac4b-4b4f-958e-6590f9a0337e,,,#000000,false,False,False,vertical,,,,,,True,0,0,0,0,Переделкино на выходные ,,horizontal,0,0,0,0,,pixels,0,pixels,0,text_label,text,"Это настоящий «литературный некрополь». Здесь находятся могилы многих жителей «писательского городка», в том числе Бориса Пастернака, Корнея Чуковского, Арсения Тарковского, Евгения Евтушенко, Роберта Рождественского и Галины Серебряковой.",,,,False,,label,,1007
,center,1.0,False,diagonal,,,0.0,False,,,,percent,50,описание,False,20.0,1.0,#000000,15,normal,e0bd1927-dd46-41e9-bc08-b4db78041f22,,,#ffdd2c,false,False,False,vertical,,,,,,True,0,0,0,0,Черные списки пассажиров,,horizontal,0,32,32,0,,pixels,36,pixels,0,text_label,text,Подробный разбор,,,,False,,web_view,,1026
,center,1.0,False,vertical,,,,False,,,fit,pixels,6,команда 1,False,,1.0,#ffffff,12,normal,844ee191-a3a7-4d26-be75-37aa9a86e533,,,#ffffff,false,False,False,vertical,,,,,,True,2,9.5,9.5,-20,Чемпионат мира 2018,,vertical,,32,32,,,pixels,14,pixels,67,,,Англия,,,,False,,label,,1203
,leading,0.8,False,diagonal,,,0.0,False,,,,pixels,0,описание,False,20.0,1.0,#ffffff,17,normal,b2d43d7c-414f-4089-bed1-edf05b256677,,,#000000,false,False,False,vertical,,,,,,True,0,0,0,0,Тинькофф Ремонт,,horizontal,0,0,0,0,,pixels,0,pixels,0,text_label,text,"Позвоните нам: 8 800 755-98-98. 
Примем заявку и свяжемся со станцией техобслуживания. В течение нескольких часов вам перезвонят со станции, чтобы договориться об удобном времени.",,,,False,,label,,1052
,center,1.0,False,diagonal,,,0.0,False,,,,percent,50,описание,False,20.0,1.0,#000000,15,normal,db2d2bcc-4e75-4676-afd2-0bed05579fc9,,,#ffdd2c,false,False,False,vertical,,,,,,True,0,0,0,0,Как арендовать машину,,horizontal,0,32,32,0,,pixels,36,pixels,0,text_label,text,Подробности о каршеринге,,,{{break}},False,,web_view,,1075
,center,1.0,False,diagonal,,,0.0,False,,,,percent,50,"Облако, крупный текст + кнопка",False,15.0,1.0,#000000,15,normal,c682dafc-66c5-4ad6-91b9-fcc5037b3d12,40.0,percent,#ffdd2c,false,False,False,vertical,,,,,answer_2,False,0,0,0,0,Проверьте себя,,horizontal,0,32,32,0,,pixels,36,pixels,0,,text,ПРОЙТИ ТЕСТ,,,,False,,web_view,,906
,leading,0.8,False,diagonal,,,0.0,False,,,,pixels,0,описание,False,20.0,1.0,#ffffff,17,normal,2ee9144e-0eb4-4432-8319-e4e304a762b5,,,#000000,false,False,False,vertical,,,,,,True,0,0,0,0,Прогулка по району Трастевере,,horizontal,0,0,0,0,,pixels,0,pixels,0,text_label,text,"Ужин в Da Enzo в Риме, как завтрак с кофе и круассаном в Париже, —  это нужно сделать обязательно. Здесь подают лучшую пасту, артишоки и домашние десерты, которые вы не найдете больше нигде. Чтобы сесть за столик, придется немного подождать, но игра стоит свеч. Визит в Da Enzo — это лучшее завершение идеального дня в Трастевере.",,,,False,,label,,1213
,center,1.0,False,diagonal,,,0.0,False,,,,percent,50,описание,False,20.0,1.0,#000000,15,normal,4cff0caa-9053-4de1-8419-4a5e27a95ee6,,,#ffdd2c,false,False,False,vertical,,,,,,True,0,0,0,0,Шоу-игра о деньгах,,horizontal,0,32,32,0,,pixels,36,pixels,0,text_label,text,Билеты,,,,False,,web_view,,1137
,leading,0.8,False,diagonal,,,0.0,False,,,,pixels,0,описание,False,20.0,1.0,#ffffff,17,normal,fa8d0251-214a-41c0-a32e-62686f7b1d4d,,,#000000,false,False,False,vertical,,,,,,True,0,0,0,0,Вена — город музыки   ,,horizontal,0,0,0,0,,pixels,0,pixels,0,text_label,text,"Высокотехнологичный интерактивный музей, посвященный композиторам, музыке, музыкальным инструментам и звуку как явлению.  ",,,,False,,label,,1257
,center,1.0,False,diagonal,,,0.0,False,,,,percent,50,копия,False,20.0,1.0,#000000,15,normal,be2590c0-1d4e-45c1-ab34-603878aedae0,,,#ffdd2c,false,False,False,vertical,,,,,,True,0,0,0,0,Открыть счет в Европе,,horizontal,0,32,32,0,,pixels,36,pixels,0,,text,Открыть вклад,,,,False,,deeplink,,1352
,center,1.0,False,diagonal,,,0.0,False,,,,percent,50,описание,False,20.0,1.0,#000000,15,normal,ee53017a-664f-40ff-9c2f-7c70f92b7a05,,,#ffdd2c,false,False,False,vertical,,,,,,True,0,0,0,0,10 вещей на лето,,horizontal,0,32,32,0,,pixels,36,pixels,0,text_label,text,Купить,,,,False,,web_view,,997
,center,1.0,False,diagonal,,,0.0,False,,,,percent,50,описание,False,20.0,1.0,#000000,15,normal,49e8700a-0086-4859-bf37-33d6c0472711,,,#ffdd2c,false,False,False,vertical,,,,,,True,0,0,0,0,Как работает таможня,,horizontal,0,32,32,0,,pixels,36,pixels,0,text_label,text,Спокойно проходите границу,,,,False,,web_view,,830
,center,1.0,False,diagonal,,,0.0,False,,,,percent,50,копия,False,0.0,1.0,#000000,15,normal,bdf086f9-bcd6-40a8-89a9-b8f0c33ec5ca,40.0,percent,#ffdd2c,false,False,False,vertical,,,,,,False,0,0,0,0,Бизнес: мужская обувь,,horizontal,0,32,32,0,,pixels,36,pixels,0,,text,Читать об обувном бизнесе,,,,False,,web_view,,1341
,center,1.0,False,diagonal,,,0.0,False,,,fill,percent,50,копия,False,15.0,1.0,#000000,15,normal,93f2d6bb-3cb6-43b1-8c4f-657ab3359989,,,#ffdd2c,false,False,False,vertical,,,,,,True,0,0,0,0,Торговые центры ,,horizontal,0,32,32,0,,pixels,36,pixels,0,,text,Торговые центры,,,,False,,deeplink,,889
,center,1.0,False,vertical,,,0.0,False,,,fill,pixels,0,копия,False,15.0,1.0,#ffffff,19,normal,9cf324f5-1404-43a7-a672-25c4cae1e149,40.0,percent,#ffffff,false,False,False,vertical,,,,,,True,0,16,16,0,Переводы в Сбербанк,,horizontal,0,0,0,0,,pixels,232,pixels,288,,text,Перевод сразу придет на карту Сбербанка. Комиссия за перевод с дебетовой карты — 1%.,,,,False,,grouped,,1368
,center,1.0,False,diagonal,,,0.0,False,,,,percent,50,описание,False,20.0,1.0,#000000,15,normal,af0e6803-adc3-49b0-8f94-fd9e333441f3,,,#ffdd2c,false,False,False,vertical,,,,,,True,0,0,0,0,Тинькофф Инвестиции 2.0,,horizontal,0,32,32,0,,pixels,36,pixels,0,text_label,text,Открыть счет,,,,False,,web_view,,831
,center,1.0,False,diagonal,,,0.0,False,,,,percent,50,"Облако, крупный текст + кнопка",False,15.0,1.0,#000000,15,normal,7edcaecc-b07d-41ad-a6b0-f04e4dcc2cdb,40.0,percent,#ffdd2c,false,False,False,vertical,,,,,answer_2,False,0,0,0,0,Проверьте себя,,horizontal,0,32,32,0,,pixels,36,pixels,0,,text,ПРОЙТИ ТЕСТ,,,,False,,web_view,,936
,center,1.0,False,diagonal,,,0.0,False,,,,percent,50,описание,False,20.0,1.0,#000000,15,normal,636a636f-18a7-4cfb-84a6-ccd2c9bcce9b,,,#ffdd2c,false,False,False,vertical,,,,,,True,0,0,0,0,Пять песен этой недели,,horizontal,0,32,32,0,,pixels,36,pixels,0,text_label,text,Слушать,,,,False,,web_view,,890
,center,1.0,False,diagonal,,,0.0,False,,,,percent,50,кнопка,False,20.0,1.0,#000000,15,normal,e4434839-b2b0-4cc9-93a9-4f7231c927ae,,,#ffdd2c,false,False,False,vertical,,,,,,True,0,0,0,0,Летнее меню,,horizontal,0,32,32,0,,pixels,36,pixels,0,text_label,text,Забронировать,,,,False,,deeplink,,953
,center,1.0,False,diagonal,,,0.0,False,,,,percent,50,копия,False,0.0,1.0,#000000,15,normal,a63b6bb3-4dc1-4a7f-8ef7-d137e832722d,40.0,percent,#ffdd2c,false,False,False,vertical,,,,,,False,0,0,0,0,Как у них: Нью-Джерси,,horizontal,0,32,32,0,,pixels,36,pixels,0,,text,Читать о жизни в Нью-Джерси,,,,False,,web_view,,918
,center,1.0,False,diagonal,,,0.0,False,,,,percent,50,описание,False,20.0,1.0,#000000,15,normal,42723a3c-dd18-4715-8d81-db1dbb746d69,,,#ffdd2c,false,False,False,vertical,,,,,,True,0,0,0,0,Длинные выходные,,horizontal,0,32,32,0,,pixels,36,pixels,0,text_label,text,Билеты,,,,False,,web_view,,1019
